game_pk,game_date,home_team,away_team,type,play_id,inning,ab_number,cap_index,outs,batter,stand,batter_name,pitcher,p_throws,pitcher_name,team_batting,team_fielding,team_batting_id,team_fielding_id,result,des,events,contextMetrics,strikes,balls,pre_strikes,pre_balls,call,call_name,pitch_call,is_strike_swinging,result_code,pitch_type,pitch_name,description,start_speed,end_speed,sz_top,sz_bot,extension,plateTime,zone,spin_rate,breakX,inducedBreakZ,breakZ,px,pz,pfxX,pfxZ,pfxZWithGravity,pfxXWithGravity,pfxXNoAbs,plateTimeSZDepth,savantIsInZone,isInZone,isSword,is_bip_out,is_abs_challenge,plate_x,plate_z,pitch_number,player_total_pitches,player_total_pitches_pitch_types,pitcher_pa_number,pitcher_time_thru_order,game_total_pitches,batSpeed,hit_distance,xba,is_barrel,hc_x_ft,hc_y_ft,hit_speed,hit_angle,launch_speed,launch_angle,runnerOn1B,runnerOn2B,runnerOn3B,is_last_pitch,double_header,game_number
825107,2026-03-31,AZ,DET,pitch,17ed2ab2-ed34-39d9-9358-0d2b0e1ee8db,1,1,0,1,690993,L,Colt Keith,694297,R,Brandon Pfaadt,DET,AZ,116,109,Groundout,"Colt Keith grounds out, third baseman Jose Fernandez to first baseman Carlos Santana.",Groundout,,0,0,0,0,S,Strike,called_strike,False,C,SI,Sinker,Called Strike,95.1,86.1,3.28,1.65,6.58,0.4,8,2410,17.2,9.2,-21.5,-0.1446,1.711,1.43,0.77,-1.79,1.43,1.43,0.37,True,True,False,True,False,-0.1446,1.711,1,1,1,1,1,1,,,,,,,,,,,,,,False,N,1
825107,2026-03-31,AZ,DET,pitch,aeb09b59-3acd-3a75-b0fe-6610b1ff1297,1,1,0,1,690993,L,Colt Keith,694297,R,Brandon Pfaadt,DET,AZ,116,109,Groundout,"Colt Keith grounds out, third baseman Jose Fernandez to first baseman Carlos Santana.",Groundout,,1,0,1,0,B,Ball,ball,False,B,CU,Curveball,Ball,83.2,76.5,3.28,1.65,6.29,0.45,13,2561,11.2,-11.4,-51.1,-0.1827,1.2796,-0.93,-0.95,-4.26,11.2,-0.93,0.43,False,False,False,True,False,-0.1827,1.2796,2,2,1,1,1,2,25.2,,,,,,,,,,,,,False,N,1
825107,2026-03-31,AZ,DET,pitch,e8975621-bfd1-35c1-ac3f-9ae40775d25d,1,1,0,1,690993,L,Colt Keith,694297,R,Brandon Pfaadt,DET,AZ,116,109,Groundout,"Colt Keith grounds out, third baseman Jose Fernandez to first baseman Carlos Santana.",Groundout,"{""homeRunBallparks"": 0}",1,1,1,1,X,In Play,hit_into_play,False,X,SI,Sinker,"In play, out(s)",95.2,86.7,3.28,1.65,6.58,0.4,11,2409,15.0,8.4,-21.8,-0.8426,2.7521,1.25,0.7,-1.82,1.25,1.25,0.37,False,False,False,True,False,-0.8426,2.7521,3,3,2,1,1,3,52.2,7.0,0.13,0,-26.95,103.04,50.0,-26.0,50.0,-26.0,,,,True,N,1
825107,2026-03-31,AZ,DET,pitch,54ff118b-7340-34ad-8aeb-2916f416e34e,1,2,0,1,805808,L,Kevin McGonigle,694297,R,Brandon Pfaadt,DET,AZ,116,109,Pop Out,Kevin McGonigle pops out to shortstop Geraldo Perdomo.,Pop Out,,0,0,0,0,B,Ball,ball,False,B,CU,Curveball,Ball,82.0,75.0,3.09,1.56,6.39,0.46,13,2557,13.0,-11.4,-52.6,-0.1967,1.0694,-1.08,-0.95,-4.38,13.0,-1.08,0.43,False,False,False,True,True,-0.1967,1.0694,1,4,2,2,1,4,,,,,,,,,,,,,,False,N,1
825107,2026-03-31,AZ,DET,pitch,46cec25e-1e26-3e30-b175-c8b5869b704c,1,2,0,1,805808,L,Kevin McGonigle,694297,R,Brandon Pfaadt,DET,AZ,116,109,Pop Out,Kevin McGonigle pops out to shortstop Geraldo Perdomo.,Pop Out,,0,1,0,1,B,Ball,ball,False,B,SI,Sinker,Ball,94.1,86.0,3.09,1.56,6.32,0.4,11,2367,14.3,7.3,-23.6,-1.518,2.8152,1.19,0.61,-1.97,1.19,1.19,0.38,False,False,False,True,False,-1.518,2.8152,2,5,3,2,1,5,,,,,,,,,,,,,,False,N,1
825107,2026-03-31,AZ,DET,pitch,e3a9c2a7-fae8-3f55-a78c-b0de81268c3e,1,2,0,1,805808,L,Kevin McGonigle,694297,R,Brandon Pfaadt,DET,AZ,116,109,Pop Out,Kevin McGonigle pops out to shortstop Geraldo Perdomo.,Pop Out,,0,2,0,2,S,Strike,called_strike,False,C,SI,Sinker,Called Strike,93.8,85.6,3.09,1.56,6.61,0.4,7,2258,15.6,4.0,-27.2,-0.6766,1.4854,1.3,0.33,-2.27,1.3,1.3,0.38,True,True,False,True,False,-0.6766,1.4854,3,6,4,2,1,6,,,,,,,,,,,,,,False,N,1
825107,2026-03-31,AZ,DET,pitch,bdcd841d-4f51-344c-89c8-7e6d970b65d6,1,2,0,1,805808,L,Kevin McGonigle,694297,R,Brandon Pfaadt,DET,AZ,116,109,Pop Out,Kevin McGonigle pops out to shortstop Geraldo Perdomo.,Pop Out,"{""homeRunBallparks"": 0}",1,2,1,2,X,In Play,hit_into_play,False,X,FC,Cutter,"In play, out(s)",90.8,83.4,3.09,1.56,6.58,0.41,9,2604,0.4,7.7,-25.4,0.5878,1.9005,-0.03,0.64,-2.12,0.4,-0.03,0.39,True,True,False,True,False,0.5878,1.9005,4,7,1,2,1,7,75.6,184.0,0.01,0,-71.01,150.72,84.8,63.0,84.8,63.0,,,,True,N,1
825107,2026-03-31,AZ,DET,pitch,61c8778a-84fd-3647-b2d9-1c58cd090278,1,3,0,2,650402,R,Gleyber Torres,694297,R,Brandon Pfaadt,DET,AZ,116,109,Flyout,Gleyber Torres flies out to right fielder Corbin Carroll.,Flyout,,0,0,0,0,S,Strike,called_strike,False,C,CU,Curveball,Called Strike,82.8,75.7,3.13,1.58,6.45,0.46,6,2434,8.3,-8.8,-49.1,0.4461,2.1235,-0.69,-0.73,-4.09,8.3,-0.69,0.43,True,True,False,True,False,0.4461,2.1235,1,8,3,3,1,8,,,,,,,,,,,,,,False,N,1
825107,2026-03-31,AZ,DET,pitch,77780cea-f579-362b-859f-c591ed41cd20,1,3,0,2,650402,R,Gleyber Torres,694297,R,Brandon Pfaadt,DET,AZ,116,109,Flyout,Gleyber Torres flies out to right fielder Corbin Carroll.,Flyout,,1,0,1,0,S,Strike,called_strike,False,C,SI,Sinker,Called Strike,94.9,86.6,3.13,1.58,6.67,0.4,7,2315,15.7,7.9,-22.7,-0.511,1.7163,1.31,0.66,-1.89,1.31,1.31,0.37,True,True,False,True,False,-0.511,1.7163,2,9,5,3,1,9,,,,,,,,,,,,,,False,N,1
825107,2026-03-31,AZ,DET,pitch,03a47350-1008-3e59-8469-6fec3a25bee3,1,3,0,2,650402,R,Gleyber Torres,694297,R,Brandon Pfaadt,DET,AZ,116,109,Flyout,Gleyber Torres flies out to right fielder Corbin Carroll.,Flyout,"{""homeRunBallparks"": 0}",2,0,2,0,X,In Play,hit_into_play,False,X,ST,Sweeper,"In play, out(s)",85.4,78.1,3.13,1.58,6.39,0.44,9,2839,9.8,2.8,-35.0,0.5566,2.0141,-0.82,0.23,-2.92,9.8,-0.82,0.42,True,True,False,True,False,0.5566,2.0141,3,10,1,3,1,10,57.9,259.0,0.03,0,144.79,215.73,78.8,38.0,78.8,38.0,,,,True,N,1
